Book Name,Author,Rating,Number of Reviews,Price,Description,Listening Time,Ranks and Genre,Book Name_clean,Language,Genres,Ranks,Best rank
365 panchatantra stories,adil mukesh,4.2,424.0,668.0,the stories of panchatantra are ancient indian fables that were written in sanskrit and pali languages. the central characters in these fascinating fables are many times animals and birds. they show their most identifying characteristics in the various stories and impart valuable life lessons and morals.,449,",#88 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#2 in literary criticism for children,#2 in fairy tales, folk tales & myths for children,#57 in children's traditional stories (books)",365 panchatantra stories,english,"audible audiobooks & originals,literary criticism for children,fairy tales,children's traditional stories","[88, 2, 2, 57]",2.0
365 stories from around the world,om books international,4.0,22.0,668.0,"the 365 stories from around the world is a treasure trove of stories from around the world - right from the barren sands of arabia to the icy cold polar regions of antarctica and different eras. through this book, a child can travel and know about the culture and history of different places, all by sitting at one place!",493,",#2,083 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#3 in literary criticism for children,#23 in fairy tales, folk tales & myths for children,#585 in children's traditional stories (books)",365 stories from around the world,english,"audible audiobooks & originals,literary criticism for children,fairy tales,children's traditional stories","[83, 3, 23, 585]",3.0
365 tales of indian mythology,om books international,4.4,238.0,836.0,"one treat a day! a 23-volume series of 365 treats: stories, facts, questions and answers, and science experiments for young listeners.",601,",#81 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in literary criticism for children,#53 in children's traditional stories (books)",365 tales of indian mythology,english,"audible audiobooks & originals,literary criticism for children,children's traditional stories","[81, 1, 53]",1.0
39 clues: cahills vs. vespers: book 1: the medusa plot,gordon korman,4.4,131.0,586.0,39 clues cahills vs. vespers book 1 the medusa plotbygordon korman-genre:rownone,0,#949 not available,39 clues cahills vs. vespers book 1 the medusa plot,english,not available,949.0,949.0
4.50 from paddington (dramatised),agatha christie,4.4,537.0,342.0,"sorry, we just need to make sure youre not a robot. for best results, please make sure your browser is accepting cookies.",0,#949 not available,4.50 from paddington (dramatised),english,not available,949.0,949.0
44 scotland street: series 1-3: full-cast radio adaptations of the much-loved novels,alexander mccall-smith,3.9,8.0,478.0,alexander mccall smiths much-loved series of novels is the basis of this full-cast dramatisation about the inhabitants of an edinburgh tenement building.,204,",#2,704 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#33 in contemporary fiction (audible audiobooks & originals),#4,430 in crime, thriller & mystery (books),#5,124 in contemporary fiction (books)",44 scotland street series 1-3 full-cast radio adaptations of the much-loved novels,english,"audible audiobooks & originals,contemporary fiction,crime,contemporary fiction","[704, 33, 430, 124]",33.0
48 laws of power,robert greene,4.4,2121.0,820.0,"amoral, cunning, ruthless, and instructive, this piercing work distills 3,000 years of the history of power into 48 well-explicated laws. this bold volume outlines the laws of power in their unvarnished essence, synthesizing the philosophies of machiavelli, sun tzu, carl von clausewitz, and other infamous strategists. the 48 laws of power will fascinate any listener interested in gaining, observing, or defending against ultimate control.",1386,",#140 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in ethics & morality philosophy,#2 in political science history & theory,#23 in political theory",48 laws of power,english,"audible audiobooks & originals,ethics & morality philosophy,political science history & theory,political theory","[140, 1, 2, 23]",1.0
48-hour start-up: from idea to launch in 1 weekend,fraser doherty mbe,4.4,101.0,5373.0,48-hour start-up from idea to launch in 1 weekendbyfraser doherty mbe-genre:rownone,0,#949 not available,48-hour start-up from idea to launch in 1 weekend,english,not available,949.0,949.0
50 favourite nursery rhymes,bbc audiobooks,2.9,24.0,273.0,"sorry, we just need to make sure youre not a robot. for best results, please make sure your browser is accepting cookies.",0,#949 not available,50 favourite nursery rhymes,english,not available,949.0,949.0
50 greatest short stories,terry o'brien - editor,4.3,80.0,1171.0,"selected from the best of the worlds short fiction, 50 great short stories brings together writings by great masters of the genre. carefully picked for their timeless quality, listeners are sure to be delighted by the inclusion of such favourites as the gift of the magi, the lady with the dog, the curious case of benjamin button, rain and mrs packletides tiger, to name but a few.",1332,",#1,866 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#13 in literature anthologies,#592 in anthologies (books),#830 in short stories (books)",50 greatest short stories,english,"audible audiobooks & originals,literature anthologies,anthologies,short stories","[866, 13, 592, 830]",13.0
50 people every christian should know: learning from spiritual giants of the faith,warren w. wiersbe,4.6,338.0,938.0,"sorry, we just need to make sure youre not a robot. for best results, please make sure your browser is accepting cookies.",0,#949 not available,50 people every christian should know learning from spiritual giants of the faith,english,not available,949.0,949.0
50 psychology classics,tom butler-bowdon,4.4,133.0,703.0,"who we are...how we think...what we do... here are insight and inspiration from 50 key books, including works by sigmund freud, malcolm gladwell, daniel goleman, karen horney, carl jung, alfred kinsey, r.d. laing, jean piaget, martin seligman, oliver sacks, gail sheehy, and bf skinner.",744,",#4,452 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#5 in history of psychology,#35 in psychology movements,#82 in sociology (audible audiobooks & originals)",50 psychology classics,english,"audible audiobooks & originals,history of psychology,psychology movements,sociology","[452, 5, 35, 82]",5.0
50 self-help classics to guide you to financial freedom,napoleon hill,5.0,1.0,32.0,this audiobook contains the following works:,5701,",#948 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#4 in money management,#2,204 in personal development & self-help",50 self-help classics to guide you to financial freedom,english,"audible audiobooks & originals,money management,personal development & self-help","[948, 4, 204]",4.0
"50 things every young gentleman should know, revised and expanded: what to do, when to do it, & why",john bridges,4.7,353.0,351.0,"50 things every young gentleman should know, revised and expanded what to do, when to do it, & whybyjohn bridges-genre:rownone",0,#949 not available,"50 things every young gentleman should know, revised and expanded what to do, when to do it, & why",english,not available,949.0,949.0
"50 things to do before you deliver: the first-time moms pregnancy guide for your baby, your body, and your sanity",jill krause,4.5,270.0,501.0,"oops! its rush hour and traffic is piling up on that page. please try again in a short while.if you were trying to place an order, it will not have been processed at this time. go to the amazon.in home page to continue shopping",0,#949 not available,"50 things to do before you deliver the first-time moms pregnancy guide for your baby, your body, and your sanity",english,not available,949.0,949.0
51 accidental inventions that changed the world,kimte guite,4.2,76.0,668.0,"sorry, we just need to make sure youre not a robot. for best results, please make sure your browser is accepting cookies.",0,#949 not available,51 accidental inventions that changed the world,english,not available,949.0,949.0
